year,weekNumber,location,product,price_per_kg,posting_date,spain_dgroup,spain_dsubgroup,spain_dtype,spain_dsubtype,spain_total_damage,spain_ppl_affected,spain_dcount,spain_no_disaster,egypt_dgroup,egypt_dsubgroup,egypt_dtype,egypt_dsubtype,egypt_total_damage,egypt_ppl_affected,egypt_dcount,egypt_no_disaster,south africa_dgroup,south africa_dsubgroup,south africa_dtype,south africa_dsubtype,south africa_total_damage,south africa_ppl_affected,south africa_dcount,south africa_no_disaster,egypt_max_temp,egypt_min_temp,egypt_precipitation,egypt_rain,egypt_wind_speed,egypt_sunshine,south africa_max_temp,south africa_min_temp,south africa_precipitation,south africa_rain,south africa_wind_speed,south africa_sunshine,spain_max_temp,spain_min_temp,spain_precipitation,spain_rain,spain_wind_speed,spain_sunshine,egypt_tariff,sa_tariff
2022,38,European Union,lemons,1.0867,2022-09-12,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,6.0,28.61642335766423,15.70082116788321,202.4,0.18467153284671534,20.71906934306569,38858.191240875916,24.723479318734793,14.013990267639903,1943.2,2.363990267639903,17.022384428223845,34049.383783454985,24.28550573514077,14.655787278415016,2442.6,1.2735140771637121,18.679666319082376,36975.938263816475,0.0493570789694786,0.10421422123909
2022,38,European Union,mandarins,0.9931,2022-09-12,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,6.0,28.61642335766423,15.70082116788321,202.4,0.18467153284671534,20.71906934306569,38858.191240875916,24.723479318734793,14.013990267639903,1943.2,2.363990267639903,17.022384428223845,34049.383783454985,24.28550573514077,14.655787278415016,2442.6,1.2735140771637121,18.679666319082376,36975.938263816475,0.0,0.0
2022,38,European Union,oranges,0.5627,2022-09-12,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,6.0,28.61642335766423,15.70082116788321,202.4,0.18467153284671534,20.71906934306569,38858.191240875916,24.723479318734793,14.013990267639903,1943.2,2.363990267639903,17.022384428223845,34049.383783454985,24.28550573514077,14.655787278415016,2442.6,1.2735140771637121,18.679666319082376,36975.938263816475,0.0641620829701423,0.2194561809301376
2022,39,European Union,clementines,1.4865,2022-09-19,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,5.0,28.93868613138686,15.965328467153284,200.4,0.18284671532846716,20.798996350364963,39149.182992700735,24.712408759124084,13.890875912408758,1868.1,2.2726277372262773,16.982846715328467,34155.0649270073,24.587747653806048,14.976120959332638,2568.0,1.3388946819603753,18.775443169968717,37074.115432742445,0.0,0.0
2022,39,European Union,lemons,1.3259,2022-09-19,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,5.0,28.93868613138686,15.965328467153284,200.4,0.18284671532846716,20.798996350364963,39149.182992700735,24.712408759124084,13.890875912408758,1868.1,2.2726277372262773,16.982846715328467,34155.0649270073,24.587747653806048,14.976120959332638,2568.0,1.3388946819603753,18.775443169968717,37074.115432742445,0.0493570789694786,0.10421422123909
2022,39,European Union,mandarins,0.9061,2022-09-19,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,5.0,28.93868613138686,15.965328467153284,200.4,0.18284671532846716,20.798996350364963,39149.182992700735,24.712408759124084,13.890875912408758,1868.1,2.2726277372262773,16.982846715328467,34155.0649270073,24.587747653806048,14.976120959332638,2568.0,1.3388946819603753,18.775443169968717,37074.115432742445,0.0,0.0
2022,39,European Union,oranges,0.6037,2022-09-19,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,5.0,28.93868613138686,15.965328467153284,200.4,0.18284671532846716,20.798996350364963,39149.182992700735,24.712408759124084,13.890875912408758,1868.1,2.2726277372262773,16.982846715328467,34155.0649270073,24.587747653806048,14.976120959332638,2568.0,1.3388946819603753,18.775443169968717,37074.115432742445,0.0641620829701423,0.2194561809301376
2022,40,European Union,clementines,1.5605,2022-09-26,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,5.0,29.362591240875915,16.298175182481753,181.5,0.1656021897810219,20.796167883211677,39392.30238138686,24.719829683698297,13.814476885644769,1863.4,2.2669099756691,17.022506082725062,34076.929489051094,24.856204379562044,15.220333680917621,2502.1,1.3045359749739311,18.824087591240875,37473.77198644421,0.0,0.0
2022,40,European Union,lemons,1.3031,2022-09-26,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,5.0,29.362591240875915,16.298175182481753,181.5,0.1656021897810219,20.796167883211677,39392.30238138686,24.719829683698297,13.814476885644769,1863.4,2.2669099756691,17.022506082725062,34076.929489051094,24.856204379562044,15.220333680917621,2502.1,1.3045359749739311,18.824087591240875,37473.77198644421,0.0493570789694786,0.10421422123909
2022,40,European Union,mandarins,0.8637,2022-09-26,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,5.0,29.362591240875915,16.298175182481753,181.5,0.1656021897810219,20.796167883211677,39392.30238138686,24.719829683698297,13.814476885644769,1863.4,2.2669099756691,17.022506082725062,34076.929489051094,24.856204379562044,15.220333680917621,2502.1,1.3045359749739311,18.824087591240875,37473.77198644421,0.0,0.0
