year,week,product,price_per_kg,posting_date,spain_dsubgroup,spain_ppl_affected,spain_dcount,spain_no_disaster,egypt_dsubgroup,egypt_ppl_affected,egypt_dcount,egypt_no_disaster,south africa_dsubgroup,south africa_ppl_affected,south africa_dcount,south africa_no_disaster,egypt_tem,egypt_rain,egypt_sunshine,sa_tem,south africa_rain,south africa_sunshine,spain_tem,spain_rain,spain_sunshine,egypt_tariff,sa_tariff,lag_1m,lag_2m,lag_3m,lag_4m,lag_5m,lag_6m,rolling_mean_8w,rolling_std_8w,rolling_mode_8w
2023,19,oranges,1.07325,2023-05-01,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,21.36025641025641,0.2033882783882784,36419.0331959707,21.557631257631257,2.5571428571428574,35104.366874236875,18.27352171637886,0.7874411302982731,33648.451198325485,0.0,0.043,0.96796,0.975275,0.905575,0.917675,0.9426666666666668,0.7016333333333332,0.961888125,0.011425557682641795,0.944075
2023,19,mandarins,1.3799,2023-05-01,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,21.36025641025641,0.2033882783882784,36419.0331959707,21.557631257631257,2.5571428571428574,35104.366874236875,18.27352171637886,0.7874411302982731,33648.451198325485,0.0,0.0,1.1968,1.3008,1.2208,1.2082,1.0964,0.9466,1.2480125,0.04299108737575727,1.1946
2023,19,lemons,1.1247,2023-05-01,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,21.36025641025641,0.2033882783882784,36419.0331959707,21.557631257631257,2.5571428571428574,35104.366874236875,18.27352171637886,0.7874411302982731,33648.451198325485,0.0588,0.064,0.9503,0.988,1.0837,1.1588,1.1983,1.2368,0.9993875,0.035204951267541924,0.9503
2023,20,oranges,1.061925,2023-05-08,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,21.173580586080586,0.2041208791208791,36380.73350732601,21.66727716727717,2.5681318681318683,35169.33064713065,18.07914704343276,0.7917320774463632,33554.894353741496,0.0,0.043,0.9884,0.97422,0.944075,0.91945,0.9076,0.9009,0.9674287500000001,0.01216722460906758,0.950175
2023,20,lemons,1.1219,2023-05-08,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,21.173580586080586,0.2041208791208791,36380.73350732601,21.66727716727717,2.5681318681318683,35169.33064713065,18.07914704343276,0.7917320774463632,33554.894353741496,0.0588,0.064,0.9502,0.9921,1.0539,1.131,1.1959,1.2195,0.986425,0.031659704278467295,0.9502
2023,20,mandarins,1.4499,2023-05-08,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,21.173580586080586,0.2041208791208791,36380.73350732601,21.66727716727717,2.5681318681318683,35169.33064713065,18.07914704343276,0.7917320774463632,33554.894353741496,0.0,0.0,1.229,1.313,1.2185,1.2252,1.1636,0.9876,1.249325,0.04222347540172404,1.1946
2023,21,mandarins,1.4175,2023-05-15,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,21.00297619047619,0.2055860805860805,36360.44443223444,21.67960927960928,2.6641025641025644,35076.786117216114,17.87148090005233,0.8072213500784929,33548.51352694924,0.0,0.0,1.2489,1.2707,1.266,1.214,1.1903,1.1514,1.2471875000000001,0.04175546184333249,1.1946
2023,21,oranges,1.079225,2023-05-15,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,21.00297619047619,0.2055860805860805,36360.44443223444,21.67960927960928,2.6641025641025644,35076.786117216114,17.87148090005233,0.8072213500784929,33548.51352694924,0.0,0.043,1.068425,0.97224,0.9514,0.890575,0.9744,0.8167,0.982056875,0.034307062313893535,0.950175
2023,21,lemons,1.1362,2023-05-15,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,21.00297619047619,0.2055860805860805,36360.44443223444,21.67960927960928,2.6641025641025644,35076.786117216114,17.87148090005233,0.8072213500784929,33548.51352694924,0.0588,0.064,1.0996,0.9896,1.056,1.1163,1.172,1.2175,0.9918750000000001,0.044369154544570674,0.9502
2023,22,oranges,0.9664333333333334,2023-05-22,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,20.876739926739926,0.2055860805860805,36343.7945970696,21.699877899877897,2.726007326007326,34902.06302808303,17.659942438513866,0.8399267399267398,33445.26059131345,0.0,0.043,1.0365,0.95976,0.950175,0.884475,0.883,0.9345,0.9928475,0.03611075913076322,0.95976
