year,weekNumber,location,price_per_kg,product,variety,description
2005,0,Greece,0.2329,oranges,navel,Greece - oranges - navel
2005,51,European Union,0.9451,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2005,51,European Union,0.5996,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2005,51,European Union,0.3691,oranges,navel,European Union - oranges - navel
2005,51,European Union,0.6614,oranges,Salustiana - Cat. I - Cal. 2-4,European Union - oranges - Salustiana - Cat. I - Cal. 2-4
2005,51,European Union,0.6507,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2005,51,Greece,0.2514,clementines,Cat. I - Cal. 1x-2,Greece - clementines - Cat. I - Cal. 1x-2
2005,51,Greece,0.1971,oranges,navel,Greece - oranges - navel
2005,51,Spain,0.6538,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2005,51,Spain,0.6105,mandarins,Cat. I - Cal. 1x-2,Spain - mandarins - Cat. I - Cal. 1x-2
2005,51,Spain,0.43,oranges,navel,Spain - oranges - navel
2005,51,Spain,0.6137,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2005,51,Spain,0.6614,oranges,Salustiana - Cat. I - Cal. 2-4,Spain - oranges - Salustiana - Cat. I - Cal. 2-4
2005,50,European Union,0.7467,oranges,Tarocco - Cat. I - Cal. 2-4,European Union - oranges - Tarocco - Cat. I - Cal. 2-4
2005,50,European Union,0.6824,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2005,50,European Union,0.7412,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2005,50,European Union,0.6863,oranges,Salustiana - Cat. I - Cal. 2-4,European Union - oranges - Salustiana - Cat. I - Cal. 2-4
2005,50,European Union,0.3578,oranges,navel,European Union - oranges - navel
2005,50,European Union,0.593,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2005,50,Greece,0.18,oranges,navel,Greece - oranges - navel
2005,50,Greece,0.24,clementines,Cat. I - Cal. 1x-2,Greece - clementines - Cat. I - Cal. 1x-2
2005,50,Italy,0.7467,oranges,Tarocco - Cat. I - Cal. 2-4,Italy - oranges - Tarocco - Cat. I - Cal. 2-4
2005,50,Italy,0.7,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2005,50,Italy,0.5558,mandarins,Cat. I - Cal. 1x-2,Italy - mandarins - Cat. I - Cal. 1x-2
2005,50,Italy,0.59,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2005,50,Spain,0.675,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2005,50,Spain,0.6083,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2005,50,Spain,0.6469,mandarins,Cat. I - Cal. 1x-2,Spain - mandarins - Cat. I - Cal. 1x-2
2005,50,Spain,0.4208,oranges,navel,Spain - oranges - navel
2005,50,Spain,0.6863,oranges,Salustiana - Cat. I - Cal. 2-4,Spain - oranges - Salustiana - Cat. I - Cal. 2-4
2005,49,European Union,0.7383,oranges,Tarocco - Cat. I - Cal. 2-4,European Union - oranges - Tarocco - Cat. I - Cal. 2-4
2005,49,European Union,0.8093,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2005,49,European Union,0.67,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2005,49,European Union,0.6825,oranges,Salustiana - Cat. I - Cal. 2-4,European Union - oranges - Salustiana - Cat. I - Cal. 2-4
2005,49,European Union,0.625,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2005,49,Greece,0.41,lemons,Cat. I - Cal. 1-3,Greece - lemons - Cat. I - Cal. 1-3
2005,49,Italy,0.7383,oranges,Tarocco - Cat. I - Cal. 2-4,Italy - oranges - Tarocco - Cat. I - Cal. 2-4
2005,49,Italy,0.65,mandarins,Cat. I - Cal. 1x-2,Italy - mandarins - Cat. I - Cal. 1x-2
2005,49,Italy,0.6283,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2005,49,Italy,0.7225,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2005,49,Spain,0.6825,oranges,Salustiana - Cat. I - Cal. 2-4,Spain - oranges - Salustiana - Cat. I - Cal. 2-4
2005,49,Spain,0.6239,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2005,49,Spain,0.6696,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2005,48,European Union,0.694,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2005,48,European Union,0.6245,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2005,48,European Union,0.8541,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2005,48,European Union,0.5963,oranges,Valencia late - Cat. I - Cal. 2-4,European Union - oranges - Valencia late - Cat. I - Cal. 2-4
2005,48,Greece,0.4143,lemons,Cat. I - Cal. 1-3,Greece - lemons - Cat. I - Cal. 1-3
2005,48,Italy,0.75,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2005,48,Italy,0.6583,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2005,48,Italy,0.68,mandarins,Cat. I - Cal. 1x-2,Italy - mandarins - Cat. I - Cal. 1x-2
2005,48,Spain,0.6135,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2005,48,Spain,0.6922,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2005,47,European Union,0.35,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2005,47,European Union,0.5963,oranges,Valencia late - Cat. I - Cal. 2-4,European Union - oranges - Valencia late - Cat. I - Cal. 2-4
2005,47,European Union,0.7105,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2005,47,European Union,0.684,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2005,47,Greece,0.42,lemons,Cat. I - Cal. 1-3,Greece - lemons - Cat. I - Cal. 1-3
2005,47,Italy,0.9,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2005,47,Italy,0.75,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2005,47,Spain,0.614,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2005,47,Spain,0.7207,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2005,46,European Union,0.7135,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2005,46,European Union,0.45,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2005,46,European Union,0.5964,oranges,Valencia late - Cat. I - Cal. 2-4,European Union - oranges - Valencia late - Cat. I - Cal. 2-4
2005,46,European Union,0.6729,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2005,46,Greece,0.42,lemons,Cat. I - Cal. 1-3,Greece - lemons - Cat. I - Cal. 1-3
2005,46,Italy,0.765,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2005,46,Italy,0.9583,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2005,46,Spain,0.5803,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2005,46,Spain,0.7183,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2005,45,European Union,0.6405,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2005,45,European Union,0.5,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2005,45,European Union,0.7753,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
